ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Type_of_Issuer,Use_of_Proceed,Principal_Currency,F1985,F1986,F1987,F1990,F1991,F1992,F1993,F1994,F1999,F2000,F2002,F2003,F2004,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
1,Argentina,AR,ARG,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,0.9739174,,,0.0500487,0.9158416,0.2074699
2,Australia,AU,AUS,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,0.5255386,0.4125611,0.5306805,2.533322,2.221139,1.982164,2.861953,4.764745,4.272656
3,Austria,AT,AUT,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,0.5303521,,1.4,0.5195428,0.5354638,2.219848,1.657231,2.703838,7.486359
4,Austria,AT,AUT,Sovereign Green Bond Issuances,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.297413
5,Bangladesh,BD,BGD,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3870968,
6,"Belarus, Rep. of",BY,BLR,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0667374
7,"Belarus, Rep. of",BY,BLR,Sovereign Green Bond Issuances,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0667374
8,Belgium,BE,BEL,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,0.0299397,,,,,,,,,,,0.0583387,,11.8067,,1.397478,3.157627,7.239031
9,Belgium,BE,BEL,Sovereign Green Bond Issuances,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,11.27635,,,,4.773169
10,Bermuda,BM,BMU,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,0.097708,0.1175261,0.957612,0.45,2.96,1.95,
